price,opp,rooms,opp_rooms,city,address
van 3,51 - 116 m²,1 - 3 slpk.,,9000 Gent,Stapelplein 80 | 9000 - Gent
369.00,90 m²,2 slpk.,,9000 Gent,Adres aanvragen
525.00,88 m²,2 slpk.,,9000 Gent,Hubert Frère Orbanlaan 240-245 | 9000 - Gent
van 9,171 - 269 m²,2 - 3 slpk.,,9000 Gent,Kouter 173 | 9000 - Gent
van 3,107 - 188 m²,3 - 4 slpk.,,9000 Gent,Raas van Gaverestraat 99 | 9000 - Gent
275.00,75 m²,1 slpk.,,9000 Gent,Henri Dunantlaan 16 bus 002 | 9000 - Gent
310.00,64 m²,1 slpk.,,9000 Gent,Doornzelestraat 23 | 9000 - Gent
630.00,123 m²,2 slpk.,,9000 Gent,Doornzelestraat 23 | 9000 - Gent
184.50,63 m²,1 slpk.,,9000 Gent,Fabriekstraat | 9000 - Gent
214.50,78 m²,2 slpk.,,9000 Gent,Fabriekstraat | 9000 - Gent
395.00,129 m²,2 slpk.,,9000 Gent,Gasmeterlaan 125 | 9000 - Gent
375.00,93 m²,2 slpk.,,9000 Gent,Academiestraat | 9000 - Gent
735.00,143 m²,3 slpk.,,9000 Gent,Academiestraat | 9000 - Gent
1.518.,269 m²,3 slpk.,,9000 Gent,Kouter 173 bus 3.1A | 9000 - Gent
220.00,70 m²,1 slpk.,,9000 Gent,Rooigemlaan 574 bus 001 | 9000 - Gent
van 3,69 - 172 m²,1 - 4 slpk.,,9000 Gent,Nieuwevaart 0 | 9000 - Gent
390.00,64 - 106 m²,1 - 2 slpk.,,9000 Gent,Sint-Michielsstraat 13 | 9000 - Gent
395.00,106 m²,2 slpk.,,9000 Gent,Sint-Michielsstraat 1 | 9000 - Gent
500.00,113 m²,2 slpk.,,9000 Gent,Academiestraat 1 | 9000 - Gent
685.00,124 m²,2 slpk.,,9000 Gent,Academiestraat 1 | 9000 - Gent
294.00,65 m²,1 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
320.00,63 m²,1 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
374.00,85 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
386.00,85 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
393.00,124 m²,3 slpk.,,9000 Gent,Antwerpsesteenweg 37 | 9000 - Gent
407.17,95 m²,2 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
418.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
435.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
435.00,100 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
435.00,99 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
445.00,93 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
445.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
685.00,134 m²,4 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
265.00,48 m²,1 slpk.,,9000 Gent,Snoekstraat 28 | 9000 - Gent
van 2,70 - 123 m²,1 - 3 slpk.,,9000 Gent,Muishondstraat 2 | 9000 - Gent
van 1,49 - 125 m²,1 - 3 slpk.,,9000 Gent,Hogeweg 165 | 9000 - Gent
van 1,51 - 111 m²,1 - 3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
van 2,51 - 107 m²,1 - 3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
van 2,56 - 105 m²,1 - 3 slpk.,,9000 Gent,Albert Schweizerstraat 20 | 9000 - Gent
van 3,64 - 143 m²,1 - 3 slpk.,,9000 Gent,Academiestraat 1 | 9000 - Gent
430.00,200 m²,3 slpk.,,9000 Gent,Nieuwevaart 179 | 9000 - Gent
430.00,78 - 218 m²,1 - 4 slpk.,,9000 Gent,Nieuwevaart 0 | 9000 - Gent
199.00,34 m²,1 slpk.,,9000 Gent,Kasteellaan 186 | 9000 - Gent
365.00,182 m²,3 slpk.,,9000 Gent,Adres aanvragen
370.00,87 m²,2 slpk.,,9000 Gent,Hubert Frère Orbanlaan 240 | 9000 - Gent
60.000,80 m²,2 slpk.,,9000 Gent,Adres aanvragen
van 2,109 - 152 m²,3 slpk.,,9000 Gent,Oslostraat 1 | 9000 - Gent
225.00,44 m²,1 slpk.,,9000 Gent,Ekkergemstraat 64 | 9000 - Gent
250.00,45 m²,1 slpk.,,9000 Gent,Snoekstraat 28 | 9000 - Gent
358.00,115 m²,1 slpk.,,9000 Gent,Nieuwevaart 179 | 9000 - Gent
376.00,120 m²,1 slpk.,,9000 Gent,Nieuwevaart 0 | 9000 - Gent
379.25,115 m²,1 slpk.,,9000 Gent,Nieuwevaart 179 | 9000 - Gent
500.00,113 m²,2 slpk.,,9000 Gent,Academiestraat 6 | 9000 - Gent
282.00,85 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
289.50,86 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
292.00,86 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
294.50,92 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
297.00,92 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
299.50,67 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
314.90,92 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
316.90,92 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
316.90,92 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
316.90,93 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
319.50,74 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
319.90,94 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
320.50,96 m²,2 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
320.50,96 m²,2 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
324.90,94 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
336.50,92 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
346.50,80 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
349.50,105 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
357.50,83 m²,2 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
372.50,93 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
378.50,95 m²,2 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
379.50,94 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
379.50,95 m²,2 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
379.50,95 m²,2 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
379.50,94 m²,3 slpk.,,9000 Gent,Albert Schweitzerstraat 20 | 9000 - Gent
398.90,99 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
404.90,100 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
417.50,103 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
417.50,103 m²,3 slpk.,,9000 Gent,Nekkersputstraat 189 | 9000 - Gent
van 3,136 - 203 m²,3 slpk.,,9000 Gent,Kopenhagenstraat 2 | 9000 - Gent
950.00,160 m²,3 slpk.,,9000 Gent,Hubert Frère Orbanlaan 240-245 | 9000 - Gent
355.00,91 m²,1 slpk.,,9000 Gent,Kortrijksesteenweg 39 | 9000 - Gent
213.00,71 m²,1 slpk.,,9000 Gent,Muishondstraat 2 | 9000 - Gent
317.00,89 m²,2 slpk.,,9000 Gent,Tondelierlaan 2 | 9000 - Gent
van 3,88 - 142 m²,2 - 3 slpk.,,9000 Gent,Tondelierlaan 10 | 9000 - Gent
531.00,3 slpk.,,3 slpk.,9000 Gent,Sint- Lievenslaan 254/0.1 | 9000 - Gent
220.00,2 slpk.,,2 slpk.,9000 Gent,Jubileumlaan 99 | 9000 - Gent
